acteurs,annee,description,duree,genre,pays,public,score,titre
"Mathieu Kassovitz,Jonathan Zaccaï,Florence Loiret Caille",2015– ,,52m,Drama,France,TV-MA,8.7,The Bureau
,2000–2004,Six best friends talk about all aspects of sex and relationships on their never-ending quest to find true love.,30m,Comedy,United Kingdom,TV-14,8.6,Coupling
,1986–1989,"Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire.",25m,Animation,Japan,TV-14,8.6,Dragon Ball
"Carlos Villagrán,Roberto Gómez Bolaños,Ramón Valdés",1972–1983,"The misadventures of a poor, homeless, fumbling boy and his friends in their humble neighborhood.",30m,Comedy,Mexico,TV-PG,8.7,El Chavo del Ocho
,2003,"Following the destruction of the Twelve Colonies of Kobol by the Cylons, a rag-tag fugitive fleet of the last remnants of mankind flees the pursuing Cylons while simultaneously searching for their true home: Earth.",3h 3m,Action,United States,TV-14,8.5,Battlestar Galactica
"Jemaine Clement,Bret McKenzie,Rhys Darby",2007–2009,"Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom.",28m,Comedy,United States,TV-MA,8.6,Flight of the Conchords
"Michael Rosenbaum,Phil LaMarr,Carl Lumbly",2001–2004,Seven of the most formidable heroes form arguably the most powerful team ever.,22m,Animation,United States,TV-PG,8.6,Justice League
"Clark Johnson,Yaphet Kotto,Richard Belzer",1993–1999,Life on the Street is an American police procedural television series chronicling the work of a fictional version of the Baltimore Police Department's Homicide Unit.,1h,Crime,United States,TV-14,8.7,Homicide: Life on the Street
,2019–2020,The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love with her and who is hiding and protecting her.,1h 10m,Adventure,South Korea,TV-14,8.7,Crash Landing on You
"Emily Mortimer,John Gallagher Jr.,Jeff Daniels",2012–2014,"A newsroom undergoes some changes in its workings and morals as a new team is brought in, bringing unexpected results for its existing news anchor.",55m,Drama,United States,TV-MA,8.6,The Newsroom
,1960–1975,TV series featuring the classic Looney Tunes animated shorts.,30m,Animation,United States,TV-G,8.6,The Bugs Bunny Show
"Kelly Macdonald,Michael Shannon,Steve Buscemi",2010–2014,An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.,55m,Crime,United States,TV-MA,8.6,Boardwalk Empire
"Eric André,Tom Ato,Hannibal Buress",2012– ,"Eric Andre tries to host a talk show in a bizarre environment, where he is sometimes the player of pranks and sometimes the victim.",11m,Comedy,United States,TV-MA,8.6,The Eric Andre Show
,2015–2018,"Filmed over a 10-year period, Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime.",1h,Documentary,United States,TV-14,8.6,Making a Murderer
"Timothy Olyphant,Nick Searcy,Joelle Carter",2010–2015,"U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky.",44m,Action,United States,TV-MA,8.6,Justified
,2003– ,"A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well.",30m,Comedy,United Kingdom,TV-PG,8.6,QI
,1989–2013,"The cases of eccentric, but sharp, Belgian detective Hercule Poirot.",1h 40m,Crime,United Kingdom,TV-14,8.6,Poirot
